step,coverage,rel_drift,cos_w,theta_deg,hf_energy,jpg_bytes
0,0.0,0.0,1.0,0.0,0.0008646862115710974,41867
1,0.010000000000000009,0.12782431903106906,0.9919291708373147,2.2460960191116235,0.0006621847860515118,35243
2,0.01990000000000003,0.18074396879411694,0.9840555899125453,3.157839272768762,0.0007024616934359074,36104
3,0.029700999999999977,0.2214059539254212,0.9763554459468409,3.686563797931021,0.0008742628851905465,40382
4,0.039403990000000055,0.25560841514323285,0.968850061097532,4.083185620669934,0.0009745681309141219,39593
5,0.04900995010000009,0.28575350107203495,0.9615132693103252,4.771786768179738,0.0007181349210441113,32263
6,0.058519850599,0.3129746588331447,0.9543501100267135,5.515847055494247,0.0007360193994827569,32987
7,0.06793465209301008,0.3380343469920563,0.9473385709321835,5.664210489795317,0.0005248759989626706,32008
8,0.07725530557207994,0.3613704091628197,0.9404759658983153,6.220606187326691,0.00025900767650455236,29312
9,0.08648275251635917,0.3832989191567307,0.9337581942964305,6.48565118239496,0.000286461494397372,28915
10,0.09561792499119559,0.40405615256467403,0.9271755376432986,6.989157219446188,0.00024885687162168324,33320
11,0.10466174574128362,0.4238404690194329,0.9207163087544439,7.321923358696634,0.00041638218681328,56172
12,0.11361512828387077,0.442748469060492,0.9143875826104074,7.813538992418437,0.00022474038996733725,46643
13,0.12247897700103216,0.46088879196678556,0.9081856116443446,8.178952213732794,2.8622673198697157e-05,20340
14,0.13125418723102178,0.4783412976343876,0.9021084987537071,8.811373894478281,0.00020612339721992612,32214
15,0.13994164535871156,0.4952029666331106,0.8961428369563451,9.188764935904254,4.136813367949799e-05,16742
16,0.14854222890512447,0.5115018681498282,0.890296336545397,9.913210330266779,0.00010624068090692163,31730
17,0.15705680661607324,0.5272880163597975,0.8845657697444911,10.171242675607605,4.964754043612629e-05,26171
18,0.1654862385499125,0.5426388150567625,0.8789349838914545,10.326808864394133,5.304648948367685e-05,24997
19,0.17383137616441335,0.5575827977474629,0.8734050071022156,9.898700290770394,0.00020954401406925172,25885
20,0.18209306240276923,0.5721465157724962,0.8679740500297284,10.354167964927525,9.137571032624692e-05,28908
