step,coverage,rel_drift,cos_w,theta_deg,hf_energy,jpg_bytes
0,0.0,0.0,1.0,0.0,0.0008646862115710974,41867
1,0.010000000000000009,0.1278843792554907,0.9919218420716323,2.8405101253038385,0.000635433301795274,40244
2,0.01990000000000003,0.18093426236660115,0.9840228754610428,3.3453049977641296,0.0011326917447149754,45995
3,0.029700999999999977,0.22172028761313858,0.9762909723954455,3.9783378908085036,0.0006594621809199452,44004
4,0.039403990000000055,0.25600316892310626,0.9687590796023732,4.468051570824119,0.000904517131857574,46942
5,0.04900995010000009,0.28627752761729713,0.961381182974991,4.810888248762445,0.0004695056122727692,30389
6,0.058519850599,0.3136153871156038,0.9541772530449131,5.462071307914544,0.000559871201403439,42297
7,0.06793465209301008,0.3387960543952548,0.9471210733449752,5.768973573326797,0.00042712350841611624,36651
8,0.07725530557207994,0.36223177079061736,0.9402184794415528,5.780433093547742,0.00032445124816149473,37524
9,0.08648275251635917,0.38424502636336805,0.9334635280468268,6.168969090526358,0.00025916364393197,38928
10,0.09561792499119559,0.40500554569175745,0.9268706718224163,6.538713596462145,0.0003022364107891917,29140
11,0.10466174574128362,0.4247792745611048,0.9204071519562728,6.910348321049688,0.00033062094007618725,33956
12,0.11361512828387077,0.4436906364550831,0.9140725508630113,7.494049870093672,0.0003011396911460906,30514
13,0.12247897700103216,0.46182978581192385,0.9078658163062416,7.982481443632174,0.0007100937655195594,61543
14,0.13125418723102178,0.47925474066317236,0.9017930622519413,8.59321647523557,0.0006264979019761086,59110
15,0.13994164535871156,0.4961277942867502,0.8958185865710775,9.054513371186898,0.00043341703712940216,44682
16,0.14854222890512447,0.5124433104432002,0.8899608896448503,8.818561670288597,0.00027409105678088963,33671
17,0.15705680661607324,0.5282303669924452,0.8842266531162705,9.329790801857802,0.00042578644934110343,99990
18,0.1654862385499125,0.5435874274403327,0.8785921541169388,9.729304478785044,0.00045852773473598063,103692
19,0.17383137616441335,0.5585421257866798,0.8730569251788822,9.418056312304337,7.809304224792868e-05,50516
20,0.18209306240276923,0.5730816313297,0.8676352243450971,10.646880586133458,0.0001674649683991447,71361
